"Name","Agent","Runtime","Hostname","Notes","GPU Type","GPU Count","Tags","batch_size","dropout","kernel_size","learning_rate","best_valid_epoch","test_loss","train_acc","train_loss","valid_acc","valid_loss","test_accuracy","best_valid_accuracy"
"motor-explo-1665551808.061546","lq978dqb","664","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.6","5","0.001","9","0.13346771723679135","0.9910714285714286","0.024857010269042235","0.9571428571428572","0.10817588383278418","0.99","0.9642857142857144"
"motor-explo-1665429614.4582703","lq978dqb","645","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.4","5","0.001","8","0.18436630606651272","0.9946428571428572","0.01590027929463219","0.9428571428571428","0.511642880324473","0.99","0.9571428571428572"
"motor-explo-1665589576.105582","kuhcmqm6","14955","Philipps-iMac.local","-","","","","32","0.5","7","0.0001","13","0.005748596894591174","0.9964285714285714","0.01063098368832823","0.9642857142857144","0.14638524428009986","0.99","0.9571428571428572"
"motor-explo-1665494361.0790238","lq978dqb","1422","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.6","3","0.00001","39","0.1160366045167813","0.9821428571428572","0.14461809617600271","0.9428571428571428","0.1869353595862372","0.99","0.9571428571428572"
"motor-explo-1665564227.2122722","lq978dqb","1041","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.7","7","0.0001","11","0.0272606080379773","0.9892857142857144","0.030312097809035623","0.9428571428571428","0.202359595036152","0.99","0.9571428571428572"
"motor-explo-1665465531.3533032","lq978dqb","1105","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.3","3","0.00001","29","0.05224761880862598","0.9839285714285714","0.07893535642485533","0.9428571428571428","0.1561077046725485","0.99","0.95"
"motor-explo-1665569177.7239888","lq978dqb","1837","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.3","5","0.00001","56","0.07867602072656155","0.9767857142857144","0.08234262673391236","0.9285714285714286","0.1719176635146141","0.99","0.95"
"motor-explo-1665587863.0560908","lq978dqb","2485","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.5","7","0.00001","58","0.07908902736380696","0.9785714285714284","0.08457762489302291","0.9285714285714286","0.1754355512559414","0.99","0.9214285714285714"
"motor-explo-1665597478.9235668","lq978dqb","2500","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.6","7","0.00001","56","0.12218787800520658","0.9714285714285714","0.1298317046215137","0.9071428571428573","0.21915642619132997","0.99","0.9142857142857144"
"motor-explo-1665596793.5298753","lq978dqb","683","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.6","5","0.001","11","0.11277840717229992","0.9803571428571428","0.07641593356513315","0.9714285714285714","0.1422876611351967","0.98","0.9857142857142858"
"motor-explo-1665477057.775551","lq978dqb","598","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.4","3","0.001","10","0.031254437107101844","0.9875","0.044244671640039535","0.9642857142857144","0.12773949887615427","0.98","0.9857142857142858"
"motor-explo-1665458952.751018","lq978dqb","1134","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.7","5","0.001","23","0.34899168962930843","0.9857142857142858","0.05693266281266671","0.9571428571428572","0.11639478219572004","0.98","0.9714285714285714"
"motor-explo-1665530784.8427022","lq978dqb","698","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.4","5","0.001","10","0.34953703199114117","0.9964285714285714","0.009001770165547526","0.9571428571428572","0.7008029073468722","0.98","0.9714285714285714"
"motor-explo-1665418682.998784","kuhcmqm6","2728","Philipps-iMac.local","-","","","","4","0.3","3","0.0001","8","0.06133103900176749","1","0.00450157449912674","0.9642857142857144","0.2233359104706104","0.98","0.9714285714285714"
"motor-explo-1665436394.4790018","lq978dqb","1703","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.5","5","0.00001","40","0.0269215842752768","0.9982142857142856","0.010783600796550098","0.95","0.23561075744376295","0.98","0.9642857142857144"
"motor-explo-1665536465.6153922","lq978dqb","1581","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.5","3","0.00001","48","0.1465818722333227","0.9821428571428572","0.15720338810767445","0.9428571428571428","0.21408315002918243","0.98","0.9571428571428572"
"motor-explo-1665508089.437359","lq978dqb","1968","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.7","5","0.00001","59","0.05101503019865889","0.9857142857142858","0.06425600261780866","0.95","0.1505912989895377","0.98","0.95"
"motor-explo-1665517120.3818908","lq978dqb","1612","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.3","3","0.00001","53","0.09526078110294682","0.9875","0.08430049552449158","0.9428571428571428","0.15652657051881155","0.98","0.95"
"motor-explo-1665579784.6670249","lq978dqb","2484","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.4","7","0.00001","56","0.05858025699853897","0.9839285714285714","0.06394127445916335","0.9285714285714286","0.18567674420773983","0.98","0.9357142857142856"
"motor-explo-1665561417.763168","lq978dqb","2804","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.7","7","0.00001","56","0.11034806498459408","0.9678571428571427","0.14038861761135715","0.9","0.23382310486502117","0.98","0.9214285714285714"
"motor-explo-1665421413.8433568","kuhcmqm6","6978","Philipps-iMac.local","-","","","","4","0.3","5","0.001","14","1.3819509338764009","0.9875","0.12188980045671038","0.9285714285714286","1.3142741083432794","0.97","0.9714285714285714"
"motor-explo-1665472816.7373726","lq978dqb","875","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.3","7","0.0001","6","0.23880113634227593","0.9946428571428572","0.018868165667179873","0.9214285714285714","0.5914954652724399","0.97","0.9642857142857144"
"motor-explo-1665525407.2153823","lq978dqb","1473","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.4","3","0.00001","44","0.11503027837690231","0.9678571428571427","0.14483515449932644","0.9214285714285714","0.20409798870484033","0.97","0.9571428571428572"
